Protein IDs	Only identified by site
P38060	
P38647	
P39054;P39053	
P39098	
P39428	
P39429	
P39688;Q04736;P08103;P05480;P25911	
P39749	
P40124;Q9CYT6	
P40142	
P40201	
P40237	
P40336	
P40630	
P40694	
P41105	
P41155	
P41216	
P41241	
P41242	
P41272	
P42125	
P42128;Q3UCQ1	
P42208	
P42209;Q9Z2Q6;P28661	
P42225	
P42227	
P42228	
P42230;REV__Q8BSK8	
P42232	
P42567	
P42669	
P42859	
P42932	
P43024	
P43247	
P43274;Q07133	
P43275	
P43276	
P43277	
P43346	
P43404;P48025	
P43406	
P45376	
P45377	
P45481	
P45591	
P45700	
P45878	
P45952	
P46061	
P46062	
P46414	
P46460	
P46467;Q8BPY9	
P46471	
P46638;P62492;Q9WTL2	
P46664;P28650	
P46718	
P46737	
P46978	
P47226	
P47738;P24549;O35945;Q9JHW9	
P47740	
P47741	
P47753	
P47754	
P47757	
P47758	
P47774	
P47791	
P47802	
P47809	
P47811;Q9Z1B7;O08911;Q5SUV5;Q8VCR8;Q3UIZ8	
P47856	
P47857	
P47877	
P47880	
P47911	
P47915	
P47934	
P47941	
P47955	
P47962	
P47963	
P47964	
P47968	
P48024	
P48036	
P48193;Q9WV92	
P48377;P48379;P48381	
P48410	
P48428	
P48453	
P48455	
P48678	
P48722	
P48725	
P48758;Q8K354	
P48962	
P49117;Q505F1	
P49135	
P49138	
P49182	
P49312	
P49442	
P49443	
P49446	
P49452	
P49615;Q9JHU3;Q3V3A1;Q04899;O35495;P16277;Q04859;Q9JKV2;Q03142;Q61851;P21803;P16092	
P49710	
P49717	
P49718	
P49722	
P49962	
P50096	
P50171	
P50172	
P50247	
P50295;P50296;P50294	
P50396	
P50427	
P50431	
P50516	
P50518	
P50543	
P50544	
P50580	
P50608	
P50637	
P51125	
P51150	
P51163	
P51174	
P51175	
P51410	
P51612	
P51660	
P51807	
P51855	
P51859	
P51881;Q3V132	
P51912	
P51949	
P52293	
P52332;Q9R117	
P52431	
P52432	
P52479	
P52480	
P52503	
P52623	
P52633	
P52760	
P52825	
P52875	
